,"(249, 0, 15)","(249, 16, 39)","(249, 40, 55)","(249, 56, 63)","(409, 0, 1)","(409, 2, 47)","(413, 0, 1)","(413, 2, 31)","(413, 32, 55)","(413, 56, 63)","(501, 0, 2)","(501, 3, 7)","(501, 8, 11)","(501, 12, 15)","(501, 16, 31)","(501, 32, 55)","(1312, 0, 21)","(296, 0, 7)","(296, 8, 23)","(296, 24, 31)","(201, 0, 23)","(201, 24, 29)","(201, 30, 31)","(201, 32, 55)","(272, 0, 23)","(272, 24, 31)","(272, 32, 39)","(272, 40, 47)","(272, 48, 55)","(288, 0, 15)","(288, 16, 31)","(288, 32, 47)","(401, 0, 15)","(401, 16, 31)","(401, 32, 47)","(401, 48, 55)","(401, 56, 63)","(417, 0, 55)","(645, 0, 1)","(645, 2, 7)","(768, 0, 37)","(768, 38, 39)","(768, 40, 47)","(776, 0, 63)","(1040, 0, 23)","(1040, 24, 37)","(1040, 38, 39)","(896, 0, 55)","(896, 56, 63)","(800, 0, 31)","(800, 32, 63)","(304, 0, 39)","(1650, 0, 7)","(840, 0, 31)","(1225, 0, 15)","(368, 0, 7)","(1217, 0, 23)","(1217, 24, 31)","(1217, 32, 63)","(1296, 0, 15)","(1296, 16, 23)","(1296, 24, 63)","(912, 0, 2)","(912, 3, 6)","(912, 7, 10)","(912, 11, 14)","(912, 15, 17)","(912, 18, 22)","(912, 23, 25)","(912, 26, 33)","(912, 34, 35)","(912, 36, 41)","(912, 42, 43)","(912, 44, 47)"
"(249, 0, 15)",1.0,0.11509710516302615,0.032701927489221426,0.20464724214332392,-0.023134679194528267,-0.18402158694749632,-0.014941011165070236,0.5892861917702217,0.6679503624580249,0.14486798607927598,-0.12168312648736113,-0.042167211580701025,0.08176557409070857,-0.10835066205739952,-0.0001827187587001174,0.17840306937720732,-0.23713018828624263,0.12542139587769258,0.1526105883397447,0.03261293157071553,-0.12607107872239945,-0.04557536697537785,0.008768994418984507,0.012791363176415691,-0.056251152107523295,-0.001724133782793144,0.012721968419068405,0.04761197372926794,-0.001724133782793144,0.009662716038071032,0.0037864042332707596,-0.07921130097132842,0.009737603487675588,0.009732557717930145,0.009255070991269177,-0.001808153395652707,-0.001808153395652707,-0.01412915511189743,0.11713220910872982,0.13268311410379027,-0.1226855114006373,0.00182207826809944,0.12104965022904142,0.014697169031154185,-0.23830620846815934,-0.058971710447560347,0.05013385985799616,-0.13057833818132647,0.03230782610932317,0.5901987305191133,0.014663024594388663,-0.1411569349363391,-0.09998414447857766,0.0912307929222825,0.017593103097716677,-0.3136702840078922,0.06357274547673511,0.058803220598818616,-0.08789363036214647,0.06346775286404487,0.058791243659729535,-0.016479619093900087,0.13069380993882318,-0.13069380993882318,-0.13069380993882318,-0.13069380993882318,-0.13069380993882318,-0.13069380993882318,0.020073599268373453,-0.13069380993882318,-0.13069380993882318,-0.11005483089387647,-0.13069380993882318,-0.12842005911257207
"(249, 16, 39)",0.11509710516302615,1.0,-0.12568904045484236,0.12264253174441071,-0.009349661696498394,-0.06303230664307938,-0.00779150420890261,-0.0017318478870844132,0.21802264676526442,0.19770289655442733,-0.04985240201261028,0.26189214551019063,0.13271757700490117,-0.06510094748527519,-0.26785778867309257,0.10597729464367389,-0.10674010010264035,0.027042684513547143,0.09205743694858781,-0.010144881829105412,-0.1778239776673364,-0.06907928796319023,0.012109481175407957,-0.06566945906033558,-0.08670480865932721,-0.0651302705619586,-0.065665692023472,-0.04332021812252142,-0.0651302705619586,0.019178837319817604,-0.10752167803489569,-0.10806175629949996,0.01886930826438816,0.01872165223821193,0.017657175476802227,-0.06512817832563761,-0.06512817832563761,-0.2593967509486094,0.02781539716913688,-0.0028457021193564005,-0.301520355373941,0.002107741174433518,0.02755238332631809,0.11064257908346085,-0.14739763225404431,-0.04293715578822901,0.004002098957350182,-0.12135544273366733,-0.0008809474020260089,0.2719669114043138,0.2698239918997634,-0.00940957851009967,-0.3005613491890803,0.22774103551626856,-0.1299813733693293,-0.21489360594776563,-0.07029850941566772,0.20632132453618543,-0.012153057649627626,-0.0703464547207561,0.2063218437044798,-0.14158914710144632,-0.003122026131437491,0.0031220261314374898,0.0031220261314374898,0.0031220261314374898,0.0031220261314374898,0.0031220261314374898,-0.05014095707081053,0.0031220261314374898,0.0031220261314374898,0.04181200734217183,0.0031220261314374898,0.00854511817851424
"(249, 40, 55)",0.032701927489221426,-0.12568904045484236,1.0,-0.17035510130346102,-0.0037033123605009345,0.03044299792685818,-0.004250233687101981,-0.023793780212759925,-0.04777183429383958,-0.24429056705889,-0.041234175858876954,-0.40879411325803033,0.06615822325132334,0.1001289699872967,0.38363976337644096,-0.033033264959921795,0.10703725181545967,0.11627276103767416,0.06049932879928723,-0.03324308363589571,0.23451481837557922,0.03659649530193505,0.006674915944871519,0.06384538796043818,0.04056126752445027,0.061530198517205245,0.06380786984002505,-0.027205451854254072,0.061530198517205245,0.050335009436965686,0.06284467090701429,0.14158329253712465,0.05023190008517933,0.050299378368689945,0.05007772913066369,0.061481672102700245,0.061481672102700245,0.42362991293997687,0.12523817306611487,-0.10122769953848562,0.250565524008231,-0.015255969627038407,0.11957297033729906,-0.23737762507661878,0.19136021328217528,0.26513289698886666,0.05854993317587936,0.23839976516860972,-0.06050951202049406,-0.007739877231639595,-0.393410340668059,0.22698723807504895,0.19693451749066554,-0.5569221673606463,0.3728224045203662,0.06095705579456974,0.012278582965031435,-0.4290053289089965,0.05384472563505372,0.01185010311171627,-0.42896860543632065,0.3580206568610558,-0.22051217920837252,0.22051217920837252,0.22051217920837252,0.22051217920837252,0.22051217920837252,0.22051217920837252,0.02723612201397446,0.22051217920837252,0.22051217920837252,0.11930705899429071,0.22051217920837252,0.23370289022131116
"(249, 56, 63)",0.20464724214332392,0.12264253174441071,-0.17035510130346102,1.0,0.006658346841835233,0.04077427674205137,0.008684875301453952,0.02550239277464686,-0.0047375813005504355,0.7311380821300603,-0.3691988437173985,0.3286820411110543,0.345932037394884,-0.8533374722535444,-0.4749767757977671,0.06366165312648073,-0.8647146646999557,0.1257766215309071,0.20366668832291931,0.10002662286033313,-0.2875128555097686,-0.16953911425469825,0.013015272933514477,0.037739761848290206,-0.1956360294538034,0.0015918319660039506,0.03758112263426256,0.0152902119694505,0.0015918319660039506,0.035802784704339154,-0.014862156251195975,-0.1008530663157305,0.035750752615071844,0.03625647912449979,0.03504162044071976,0.0013555141367305845,0.0013555141367305845,-0.5150127748660723,0.12180498090856434,0.10846975248284348,-0.3219698121650048,-0.00041177596228859193,0.1239029877614179,0.15323490349209298,-0.8251344312194256,-0.1826323119218913,-0.00512891193667889,-0.31133306495875107,0.07650201669650189,0.11282432524747703,0.4856739126193051,-0.2996615126162982,-0.23841818965429196,0.5582292250918871,-0.31503710922024547,-0.04530151850381665,0.09376338535113991,0.36664702761399415,-0.2436211758749248,0.09420554568411664,0.3666033332586527,-0.27031687049146286,0.29403123440267503,-0.29403123440267503,-0.29403123440267503,-0.29403123440267503,-0.29403123440267503,-0.29403123440267503,-0.023104878680022263,-0.29403123440267503,-0.29403123440267503,-0.18251085787785634,-0.29403123440267503,-0.29769554412217303
"(409, 0, 1)",-0.023134679194528267,-0.009349661696498394,-0.0037033123605009345,0.006658346841835233,1.0,0.007271616393393553,0.20744986271573362,-0.004253720426453352,-0.029247151677187725,0.0207331366879899,-0.013822919573952337,0.034579174218167905,0.0011537805900771855,-0.010342075903958477,-0.03292677901958967,0.02850155614150696,-0.005436318846501955,-0.020524091103978133,-0.020332213055141646,-0.01166531816499865,-0.04265792314786904,0.003423224408876807,0.017744524167456796,0.0031371850530265443,-0.0018845060003186088,0.0035694565493918527,0.003160746462116462,0.015218541013753657,0.0035694565493918527,-0.009128435028045192,-0.006892409079415911,-0.03738942772089185,-0.009100689288953683,-0.009101169546772408,-0.009149981169190807,0.003558229178853772,0.003558229178853772,-0.03825276098975103,-0.019056272806711714,-0.02265340452562723,-0.04099503921424578,0.007978149036011739,-0.020155185662658233,-0.007576819785093707,-0.01135746799894423,-0.002247163388799383,-0.008234426822868787,-0.04397017955943636,0.015185237093364033,-0.021176928522435228,0.03307853381748673,-0.0448589874180001,-0.036045390924118896,0.004312512803886428,0.001452445107938312,0.0067652028928405165,-0.0008360176375887761,0.0022910055965854963,-0.022772535253543398,-0.0008076915440777906,0.0022645021185083557,0.0038320709382161002,0.04448829937753679,-0.044488299377536795,-0.044488299377536795,-0.044488299377536795,-0.044488299377536795,-0.044488299377536795,0.008537900827529527,-0.044488299377536795,-0.044488299377536795,-0.04012316868570692,-0.044488299377536795,-0.04140781885791683
"(409, 2, 47)",-0.18402158694749632,-0.06303230664307938,0.03044299792685818,0.04077427674205137,0.007271616393393553,1.0,0.004606438432413362,-0.0014498406156573855,-0.2518163208922983,-0.008430464558567571,-0.03720429873664997,-0.07359532904309289,0.14188095485090765,-0.060242369562582505,0.04113363351364438,-0.024208770101130365,-0.012087683746875152,-0.06126456499501039,-0.06517677640172315,-0.00882462523075351,0.041490598612241254,0.0815089821855231,-0.006384509157739534,0.13481201388674546,0.09724653087101202,0.14388114417319053,0.13486809283397003,0.11277423742548501,0.14388114417319053,0.10782481481550522,0.12476232137305765,0.047469545220242486,0.10772427332399799,0.11664759431122727,0.11589231449169982,0.14393539994998902,0.14393539994998902,0.04574732228454095,-0.06168951724511845,-0.006209734314179821,0.04257244163691147,0.02080512777874219,-0.06157042854432301,-0.026098448858077557,-0.01162271150147224,-0.0005984023770250453,-0.0168145357980706,0.04115709071500764,-0.012188344246238656,-0.17082557994930056,-0.04377987399724604,0.0428273849843159,0.02202236092211649,-0.019993866586500285,0.00973662858169437,0.11740718403431258,0.041801655513966335,-0.02995704455937567,-0.02750197588492289,0.0417882407903808,-0.029956566306143368,0.0282771798614063,-0.03756331533190217,0.03756331533190216,0.03756331533190216,0.03756331533190216,0.03756331533190216,0.03756331533190216,0.03038621770254575,0.03756331533190216,0.03756331533190216,0.04050112437478493,0.03756331533190216,0.0363689091216917
"(413, 0, 1)",-0.014941011165070236,-0.00779150420890261,-0.004250233687101981,0.008684875301453952,0.20744986271573362,0.004606438432413362,1.0,-0.001678630436107609,-0.025749433194395478,0.011390145889625896,-0.007677918629864767,0.014905923395700084,0.0032609258862142457,-0.0089273494895108,-0.014920631320350822,0.014590047871601385,-0.004254316662596266,-0.004454103408097941,-0.006036533421962011,0.00022344986525290418,-0.020529601760964744,-0.0036040234286225112,-0.001760720608883601,0.001582398430047223,-0.0022534351930022733,0.0006738781051214374,0.0016038189216558058,0.008346111289593056,0.0006738781051214374,-0.0019125565360817755,-0.0019213206962362434,-0.016194977673033833,-0.001873202643935415,-0.001861350019835864,-0.0017552710148080433,0.0006015509455524297,0.0006015509455524297,-0.01691450301290318,-0.004521911243397842,-0.00783907157425105,-0.019909960153734554,0.005112451387454245,-0.004647148480707279,-0.002465332227506468,-0.00959221669559038,0.004188639952223447,-0.0045719812930624685,-0.021648415252856237,0.0024372325601940163,-0.019081098403715382,0.014722151962488867,-0.02239091782796391,-0.013175057184133683,0.0045336589952105245,-0.000699350705943817,-0.0038357440355309257,0.0033671445406612713,0.0006726641525190659,-0.008629544846434087,0.003398587029336895,0.0006311401160005473,0.0005283913727369667,0.02288397976768975,-0.022883979767689747,-0.022883979767689747,-0.022883979767689747,-0.022883979767689747,-0.022883979767689747,-0.0014683729924208162,-0.022883979767689747,-0.022883979767689747,-0.021825793442062726,-0.022883979767689747,-0.02340543284972985
"(413, 2, 31)",0.5892861917702217,-0.0017318478870844132,-0.023793780212759925,0.02550239277464686,-0.004253720426453352,-0.0014498406156573855,-0.001678630436107609,1.0,0.01895854239391439,0.03992122341401563,-0.009795537469236289,0.04333042479643617,-0.005767784597411992,-0.02946441174242506,-0.0237903565208526,0.03424024844816027,-0.02990306510473114,0.04813345353927552,0.07931114407385063,0.00658058047244682,0.006100451221243975,-0.012939379743374108,-0.00018871326098889366,-0.01240892350349551,-0.016141570602830436,-0.012332080560671798,-0.01241042085649625,-0.010099162269159415,-0.012332080560671798,-0.006682139247051306,-0.009921210232551318,0.02350425049966927,-0.006703382140928711,-0.006712499455407903,-0.006759318118641012,-0.0123319194714617,-0.0123319194714617,-0.010463124071077018,0.029072229352812305,0.23377868378544012,0.0037965788967696244,0.002524336616269425,0.03867193151119781,0.03312115207395009,-0.028453710025527698,-0.007443507209293504,0.023431951411319082,0.003745349973287214,-0.00469932558777024,-0.002163998809044557,0.036642606847855246,0.0036105029352429814,0.0035983774624541278,0.0472478293426016,-0.029666825020718372,0.0007844991088873858,-0.0047472705335940115,0.04435353364824355,-0.0026549963015962937,-0.004753698790094078,0.044353560365383855,-0.030962927651724197,-0.0035325578282103024,0.0035325578282102985,0.0035325578282102985,0.0035325578282102985,0.0035325578282102985,0.0035325578282102985,-0.009364337997070298,0.0035325578282102985,0.0035325578282102985,0.011046338560763385,0.0035325578282102985,0.004532290210022446
"(413, 32, 55)",0.6679503624580249,0.21802264676526442,-0.04777183429383958,-0.0047375813005504355,-0.029247151677187725,-0.2518163208922983,-0.025749433194395478,0.01895854239391439,1.0,-0.009965764124428534,-0.007702011726580112,0.04124902082755347,-0.013416196909768113,0.16108462778312838,-0.046237183841406584,0.06480554937852359,-0.02695039513041063,0.026252588222922337,0.055578683488015784,0.025167329813845583,-0.07408053066943945,-0.0034301031318290324,0.0067290097164967415,-0.007846363564969962,-0.010221667724910838,-0.009112614892631859,-0.007849346511487974,0.026769697589159636,-0.009112614892631859,-0.002466719699004799,-0.011806683887763401,-0.05188574132054755,-0.002357201110106862,-0.002370966181159172,-0.0019709015290577474,-0.009109647523796343,-0.009109647523796343,-0.04454522326517532,0.02457630385728515,0.02386350981034691,-0.07727746991857179,0.002659566049897321,0.02515930876290823,0.035504891843422405,-0.035916622459240044,-0.013689160656266955,-0.0037027782603520393,-0.06953488101931661,0.015980745968492124,0.8102191588181692,0.050122833262294435,-0.07325657803775629,-0.050493815565911884,0.07712883568922493,-0.0021781120894586517,-0.40610008595552227,-0.03329208085973776,0.06405171861850571,0.0017409714178375784,-0.03331713680515805,0.06405397753247395,-0.05144741718437984,0.050980476745257894,-0.05098047674525789,-0.05098047674525789,-0.05098047674525789,-0.05098047674525789,-0.05098047674525789,-0.01933941045859043,-0.05098047674525789,-0.05098047674525789,-0.04043045503083475,-0.05098047674525789,-0.04863389176614414
"(413, 56, 63)",0.14486798607927598,0.19770289655442733,-0.24429056705889,0.7311380821300603,0.0207331366879899,-0.008430464558567571,0.011390145889625896,0.03992122341401563,-0.009965764124428534,1.0,-0.2934977655770745,0.6561594509623756,0.03954594023184996,-0.7131366340978724,-0.7438925756255089,0.10106789333383144,-0.7232563937762927,0.09257006027935502,0.18275777488032272,0.09408303009939142,-0.4556303303686229,-0.29245388523602606,0.010741154525966256,-0.19162095437591975,-0.3366431882744612,-0.20946348184983463,-0.1916905098477593,-0.13347402263769154,-0.20946348184983463,-0.1852972395067907,-0.24177764992186565,-0.2613040162893949,-0.1852751067164973,-0.1851932526953201,-0.18578805674956292,-0.20958396929171672,-0.20958396929171672,-0.8072979526257532,0.0831012275320152,0.16979395074349485,-0.5055330818066035,0.04872631722204288,0.08916335838275888,0.1410999149810787,-0.7854396205453529,-0.21879879853428943,-0.01976405860975598,-0.48901388167874,0.12349254922785408,0.01706313035138721,0.7609811572528744,-0.4708434461411759,-0.3771657170226174,0.6524816355056503,-0.3451721019033796,-0.07881126682176419,0.02207732310198744,0.38819269494426,-0.22170983453595777,0.022752275725091167,0.3881494294134748,-0.29601110578780776,0.4618507076020515,-0.4618507076020515,-0.4618507076020515,-0.4618507076020515,-0.4618507076020515,-0.4618507076020515,-0.07331951170538381,-0.4618507076020515,-0.4618507076020515,-0.3325178351605665,-0.4618507076020515,-0.4382810000505465
