time,speed,rpm,brake
48.749,0,0,0
48.763,0,0,0
48.775,0,0,0
48.783,0,0,0
48.792,0,0,0
48.802,0,0,0
48.819,0,0,0
48.827,0,0,0
48.838,0,0,0
48.85,0,0,0
48.862,0,0,0
48.874,0,0,0
48.886,0,0,0
48.899,0,0,0
48.91,0,0,0
48.923,0,0,0
48.934,0,0,0
48.946,0,0,0
48.959,0,0,0
48.971,0,0,0
48.983,0,0,0
48.998,0,0,0
49.007,0,0,0
49.019,0,0,0
49.031,0,0,0
49.043,0,0,0
49.055,0,0,0
49.067,0,0,0
49.079,0,0,0
49.091,0,0,0
49.103,0,0,0
49.115,0,0,0
49.127,0,0,0
49.14,0,0,0
49.151,0,0,0
49.164,0,0,0
49.176,0,0,0
49.188,0,0,0
49.2,0,0,0
49.212,0,0,0
49.224,0,0,0
49.236,0,0,0
49.249,0,0,0
49.26,0,0,0
49.272,0,0,0
49.284,0,0,0
49.296,0,0,0
49.308,0,0,0
49.321,0,0,0
49.332,0,0,0
49.354,0,0,0
49.364,0,0,0
49.378,0,0,0
49.383,0,0,0
49.393,0,0,0
49.405,0,0,0
49.424,0,0,0
49.429,0,0,0
49.441,0,0,0
49.453,0,0,0
49.465,0,0,0
49.477,0,0,0
49.489,0,0,0
49.501,0,0,0
49.513,0,0,0
49.525,0,0,0
49.538,0,0,0.145833333
49.549,0,0,0.145833333
49.561,0,0,0.145833333
49.573,0,0,0.145833333
49.586,0,0,0.145833333
49.598,0,0,0.145833333
49.61,0,0,0.145833333
49.622,0,0,0.145833333
49.634,0,0,0.145833333
49.646,0,0,0.145833333
49.658,0,0,0.145833333
49.67,0,0,0.145833333
49.69,0,0,0.145833333
49.695,0,0,0.145833333
49.706,0,0,0.145833333
49.718,0,0,0.145833333
49.731,0,0,0.145833333
49.743,0,0,0.145833333
49.755,0,0,0.145833333
49.767,0,0,0.145833333
49.779,0,0,0.145833333
49.791,0,0,0.145833333
49.803,0,0,0.145833333
49.816,0,0,0.145833333
49.828,0,0,0.145833333
49.841,0,0,0.145833333
49.852,0,0,0.145833333
49.864,0,0,0.145833333
49.877,0,0,0.145833333
49.889,0,0,0.145833333
49.901,0,0,0.145833333
49.913,0,0,0.145833333
49.925,0,0,0.145833333
49.937,0,0,0.145833333
49.949,0,0,0.145833333
49.962,0,0,0.145833333
49.974,0,0,0.145833333
49.986,0,0,0.145833333
49.998,0,0,0.145833333
50.01,0,0,0.145833333
50.022,0,0,0.145833333
50.035,0,0,1
50.047,0,0,1
50.059,0,0,1
50.072,0,0,1
50.084,0,0,1
50.097,0,0,1
50.108,0,0,1
50.12,0,0,1
50.133,0,0,1
50.144,0,0,1
50.157,0,0,1
50.169,0,0,1
50.181,0,0,1
50.193,0,0,1
50.205,0,0,1
50.218,0,0,1
50.229,0,0,1
50.242,0,0,1
50.254,0,0,1
50.267,0,0,1
50.278,0,0,1
50.29,0,0,1
50.302,0,0,1
50.314,0,0,1
50.327,0,0,1
50.339,0,0,1
50.351,0,0,1
50.363,0,0,1
50.375,0,0,1
50.387,0,0,1
50.399,0,0,1
50.411,0,0,1
50.423,0,0,1
50.435,0,0,1
50.447,0,0,1
50.46,0,0,1
50.471,0,0,1
50.483,0,0,1
50.496,0,0,1
50.508,0,0,1
50.52,0,0,1
50.532,0,0,0
50.544,0,0,0
50.556,0,0,0
50.568,0,0,0
50.581,0,0,0
50.593,0,0,0
50.605,0,0,0
50.617,0,0,0
50.629,0,0,0
50.641,0,0,0
50.653,0,0,0
50.665,0,0,0
50.677,0,0,0
50.689,0,0,0
50.701,0,0,0
50.713,0,0,0
50.725,0,0,0
50.737,0,0,0
50.749,0,0,0
50.761,0,0,0
50.773,0,0,0
50.786,0,0,0
50.797,0,0,0
50.81,0,0,0
50.822,0,0,0
50.834,0,0,0
50.846,0,0,0
50.858,0,0,0
50.87,0,0,0
50.882,0,0,0
50.894,0,0,0
50.906,0,0,0
50.918,0,0,0
50.93,0,0,0
50.942,0,0,0
50.955,0,0,0
50.966,0,0,0
50.978,0,0,0
50.991,0,0,0
51.002,0,0,0
51.014,0,0,0
51.026,0,0,0
51.039,0,0,0
51.051,0,0,0
51.063,0,0,0
51.075,0,0,0
51.087,0,0,0
51.099,0,0,0
51.111,0,0,0
51.123,0,0,0
51.135,0,0,0
51.147,0,0,0
51.159,0,0,0
51.171,0,0,0
51.183,0,0,0
